Origem, Destino, Permissoes, Data Chamada, Hora Chamada, Inicio Conversacao, Final Conversacao, Duracao Ligacao, Duracao Conversacao
9868, 32382020, cnat-podelocal, 03/09/2018, 08, 08:18:11, 08:18:35, 39, 24
9868, 32382020, cnat-podelocal, 03/09/2018, 10, 10:43:20, 10:44:01, 56, 41
9868, 9866, cnat-podelocal, 03/09/2018, 13, 13:51:04, 13:51:43, 44, 39
9870, 9930, cnat-podelocal, 03/09/2018, 15, 15:19:25, 15:21:46, 145, 141
9870, 9930, cnat-podelocal, 03/09/2018, 15, 15:22:45, 15:23:37, 55, 52
9870, 9866, cnat-podelocal, 03/09/2018, 17, 17:15:17, 17:16:14, 60, 57
9868, 9930, cnat-podelocal, 04/09/2018, 08, 08:17:37, 08:18:46, 96, 69
9868, 9930, cnat-podelocal, 04/09/2018, 08, 08:20:27, 08:21:00, 35, 33
9870, 9930, cnat-podelocal, 04/09/2018, 09, 09:13:48, 09:14:11, 36, 23
9868, 32319522, cnat-podelocal, 04/09/2018, 12, 12:26:46, 12:27:24, 52, 38
9868, 9870, cnat-podelocal, 04/09/2018, 15, 15:28:49, 15:29:38, 54, 49
9868, 9866, cnat-podelocal, 04/09/2018, 16, 16:57:41, 16:59:22, 104, 101
9870, 9867, cnat-podelocal, 05/09/2018, 11, 11:04:21, 11:05:27, 76, 66
9870, 33016847, cnat-podelocal, 05/09/2018, 12, 12:48:06, 12:48:41, 58, 35
9870, 22263927, cnat-podelocal, 05/09/2018, 14, 14:55:07, 14:55:48, 55, 41
9870, 9866, cnat-podelocal, 06/09/2018, 17, 17:17:25, 17:19:04, 103, 99
9868, 32319522, cnat-podelocal, 10/09/2018, 08, 08:09:06, 08:09:28, 51, 22
9868, 32319522, cnat-podelocal, 10/09/2018, 08, 08:12:50, 08:13:41, 70, 51
9868, 32324129, cnat-podelocal, 10/09/2018, 08, 08:14:06, 08:14:31, 38, 25
9868, 32312718, cnat-podelocal, 10/09/2018, 09, 09:04:36, 09:04:59, 43, 23
9868, 32319522, cnat-podelocal, 10/09/2018, 11, 11:15:00, 11:15:33, 51, 33
9868, 32319522, cnat-podelocal, 10/09/2018, 11, 11:17:00, 11:17:32, 53, 32
9868, 9867, cnat-podelocal, 11/09/2018, 09, 09:15:11, 09:17:11, 124, 120
9870, 9821, cnat-podelocal, 11/09/2018, 09, 09:30:38, 09:31:42, 70, 64
9868, 9866, cnat-podelocal, 11/09/2018, 14, 14:44:52, 14:45:08, 20, 16
9868, 9866, cnat-podelocal, 11/09/2018, 14, 14:48:11, 14:48:20, 14, 9
9868, 33422260, cnat-podelocal, 11/09/2018, 17, 17:24:54, 17:30:59, 372, 365
9868, 32319522, cnat-podelocal, 13/09/2018, 08, 08:13:46, 08:15:03, 96, 77
9868, 9888, cnat-podelocal, 13/09/2018, 10, 10:57:15, 10:57:41, 36, 26
9868, 8930, cnat-podelocal, 13/09/2018, 17, 17:12:11, 17:13:50, 103, 99
9868, 9866, cnat-podelocal, 13/09/2018, 17, 17:23:33, 17:24:28, 90, 55
9870, 9867, cnat-podelocal, 14/09/2018, 10, 10:00:20, 10:01:23, 69, 63
9870, 9867, cnat-podelocal, 14/09/2018, 11, 11:09:27, 11:10:05, 44, 38
9868, 9866, cnat-podelocal, 14/09/2018, 18, 18:26:44, 18:27:09, 29, 25
9868, 9866, cnat-podelocal, 14/09/2018, 18, 18:27:31, 18:27:39, 11, 8
9868, 32312718, cnat-podelocal, 17/09/2018, 07, 07:47:49, 07:48:36, 67, 47
9868, 32319522, cnat-podelocal, 17/09/2018, 08, 08:12:48, 08:13:48, 89, 60
9870, 32349575, cnat-podelocal, 17/09/2018, 10, 10:38:05, 10:39:50, 118, 105
9868, 9867, cnat-podelocal, 18/09/2018, 15, 15:01:52, 15:04:39, 176, 167
9868, 9866, cnat-podelocal, 18/09/2018, 16, 16:35:19, 16:35:34, 43, 15
9870, 22263927, cnat-podelocal, 19/09/2018, 13, 13:39:35, 13:40:23, 62, 48
9868, 9867, cnat-podelocal, 19/09/2018, 16, 16:33:14, 16:33:54, 44, 40
9868, 32319522, cnat-podelocal, 20/09/2018, 09, 09:15:28, 09:18:24, 193, 176
9868, 32116289, cnat-podelocal, 20/09/2018, 09, 09:44:32, 09:44:58, 39, 26
9868, 31331200, cnat-podelocal, 20/09/2018, 09, 09:45:18, 09:47:51, 165, 153
9868, 32319522, cnat-podelocal, 20/09/2018, 10, 10:13:36, 10:14:38, 81, 62
9868, 31331200, cnat-podelocal, 20/09/2018, 11, 11:19:24, 11:19:50, 44, 26
9868, 40084707, cnat-podelocal, 20/09/2018, 13, 13:37:32, 13:42:44, 318, 312
9868, 40092000, cnat-podelocal, 20/09/2018, 14, 14:32:15, 14:33:30, 105, 75
9868, 9812, cnat-podelocal, 20/09/2018, 14, 14:43:59, 14:44:32, 35, 33
9868, 32200000, cnat-podelocal, 20/09/2018, 14, 14:55:10, 14:58:08, 185, 178
9868, 32205433, cnat-podelocal, 24/09/2018, 08, 08:51:40, 08:52:57, 84, 77
9868, 33462665, cnat-podelocal, 24/09/2018, 09, 09:04:23, 09:06:52, 160, 149
9868, 32025404, cnat-podelocal, 24/09/2018, 10, 10:02:06, 10:03:30, 100, 84
9870, 9907, cnat-podelocal, 24/09/2018, 17, 17:38:34, 17:41:09, 166, 155
9870, 9866, cnat-podelocal, 24/09/2018, 17, 17:48:12, 17:48:35, 27, 23
9868, 40092000, cnat-podelocal, 25/09/2018, 09, 09:48:38, 09:48:48, 24, 10
9868, 9930, cnat-podelocal, 25/09/2018, 10, 10:20:39, 10:21:52, 76, 73
9870, 9930, cnat-podelocal, 26/09/2018, 13, 13:44:47, 13:46:39, 115, 112
9868, 32012617, cnat-podelocal, 26/09/2018, 16, 16:12:10, 16:15:36, 225, 206
9868, 9867, cnat-podelocal, 26/09/2018, 17, 17:04:24, 17:05:04, 45, 40
9870, 9887, cnat-podelocal, 27/09/2018, 11, 11:42:05, 11:45:44, 222, 219
9868, 9867, cnat-podelocal, 27/09/2018, 11, 11:46:18, 11:47:38, 89, 80
9868, 9820, cnat-podelocal, 27/09/2018, 13, 13:49:08, 13:51:47, 172, 159
9868, 9820, cnat-podelocal, 27/09/2018, 13, 13:59:50, 14:00:19, 33, 29
9870, 9833, cnat-podelocal, 27/09/2018, 14, 14:01:56, 14:02:15, 32, 19
9870, 9842, cnat-podedddcel, 27/09/2018, 14, 14:02:23, 14:03:00, 45, 37
9868, 9820, cnat-podelocal, 27/09/2018, 14, 14:06:36, 14:07:29, 61, 53
9868, 9820, cnat-podelocal, 27/09/2018, 14, 14:09:32, 14:09:53, 29, 21
9868, 9867, cnat-podelocal, 28/09/2018, 09, 09:07:18, 09:07:34, 24, 16
9870, 9842, cnat-podelocal, 28/09/2018, 09, 09:30:35, 09:31:28, 56, 53
9868, 32319522, cnat-podelocal, 28/09/2018, 12, 12:33:15, 12:34:17, 82, 62
9870, 9866, cnat-podelocal, 28/09/2018, 16, 16:52:47, 16:53:27, 44, 40
9868, 32319522, cnat-podelocal, 01/10/2018, 08, 08:29:21, 08:30:23, 81, 62
9868, 32319522, cnat-podelocal, 01/10/2018, 08, 08:35:05, 08:36:11, 90, 66
9870, 9930, cnat-podelocal, 01/10/2018, 08, 08:38:25, 08:39:31, 69, 66
9870, 9930, cnat-podelocal, 01/10/2018, 10, 10:23:21, 10:25:35, 137, 134
9868, 9867, cnat-podelocal, 01/10/2018, 11, 11:02:26, 11:03:40, 81, 74
9868, 9936, cnat-podelocal, 01/10/2018, 12, 12:53:00, 12:54:11, 79, 71
9870, 9866, cnat-podelocal, 01/10/2018, 19, 19:22:21, 19:22:59, 40, 38
9870, 9888, cnat-podelocal, 02/10/2018, 12, 12:48:12, 12:48:47, 39, 35
9868, 9888, cnat-podelocal, 02/10/2018, 15, 15:05:55, 15:06:12, 19, 17
9868, 40098260, cnat-podelocal, 04/10/2018, 08, 08:21:44, 08:23:16, 120, 92
9868, 40420082, cnat-podelocal, 04/10/2018, 08, 08:23:38, 08:24:11, 45, 33
9868, 40420082, cnat-podelocal, 04/10/2018, 08, 08:50:16, 08:50:55, 52, 39
9868, 40420082, cnat-podelocal, 04/10/2018, 08, 08:56:51, 09:00:57, 259, 246
9868, 9867, cnat-podelocal, 04/10/2018, 09, 09:21:21, 09:22:11, 60, 50
9868, 9847, cnat-podelocal, 04/10/2018, 09, 09:32:18, 09:33:10, 62, 52
9868, 9849, cnat-podelocal, 04/10/2018, 09, 09:34:13, 09:35:39, 90, 86
9868, 32057400, cnat-podelocal, 04/10/2018, 10, 10:28:51, 10:29:20, 40, 29
9870, 9887, cnat-podelocal, 04/10/2018, 10, 10:51:47, 10:53:26, 103, 99
9868, 9865, cnat-podelocal, 04/10/2018, 12, 12:42:34, 12:43:56, 85, 82
9868, 9910, cnat-podelocal, 04/10/2018, 12, 12:57:44, 12:58:03, 24, 19
9868, 9867, cnat-podelocal, 05/10/2018, 12, 12:13:49, 12:19:25, 339, 336
9868, 9865, cnat-podelocal, 05/10/2018, 12, 12:57:16, 12:57:31, 16, 15
9870, 9866, cnat-podelocal, 05/10/2018, 16, 16:23:59, 16:26:03, 132, 124
9870, 9800, cnat-podelocal, 08/10/2018, 08, 08:20:08, 08:20:20, 19, 12
9870, 8900, cnat-podelocal, 08/10/2018, 08, 08:20:31, 08:21:33, 64, 62
9868, 32319522, cnat-podelocal, 08/10/2018, 08, 08:54:47, 08:55:46, 78, 59
9868, 33455301, cnat-podelocal, 08/10/2018, 10, 10:19:22, 10:20:20, 79, 58
9868, 9866, cnat-podelocal, 08/10/2018, 12, 12:19:54, 12:20:03, 31, 9
9868, 9865, cnat-podelocal, 08/10/2018, 13, 13:18:17, 13:19:10, 57, 53
9868, 9865, cnat-podelocal, 08/10/2018, 13, 13:19:37, 13:20:40, 66, 63
9870, 9866, cnat-podelocal, 08/10/2018, 15, 15:38:49, 15:39:34, 49, 45
9870, 9861, cnat-podelocal, 09/10/2018, 08, 08:46:29, 08:47:47, 81, 78
9870, 32151100, cnat-podelocal, 09/10/2018, 09, 09:10:19, 09:10:55, 63, 36
9870, 32151100, cnat-podelocal, 09/10/2018, 09, 09:13:06, 09:13:34, 48, 28
9870, 32271234, cnat-podelocal, 09/10/2018, 09, 09:27:48, 09:40:46, 784, 778
9868, 32382020, cnat-podelocal, 09/10/2018, 09, 09:55:18, 09:55:49, 46, 31
9868, 9866, cnat-podelocal, 09/10/2018, 16, 16:08:41, 16:09:03, 26, 22
9868, 32319522, cnat-podelocal, 10/10/2018, 10, 10:52:43, 10:54:04, 104, 81
9870, 9866, cnat-podelocal, 10/10/2018, 18, 18:48:23, 18:48:53, 36, 30
9870, 9866, cnat-podelocal, 10/10/2018, 19, 19:08:44, 19:10:48, 133, 124
9868, 32319522, cnat-podelocal, 11/10/2018, 08, 08:39:32, 08:41:37, 140, 125
9870, 32087914, cnat-podelocal, 11/10/2018, 09, 09:16:35, 09:17:12, 44, 37
9868, 9848, cnat-podelocal, 11/10/2018, 15, 15:02:01, 15:02:26, 36, 25
9868, 9850, cnat-podelocal, 11/10/2018, 15, 15:02:38, 15:03:35, 60, 57
9868, 9866, cnat-podelocal, 11/10/2018, 18, 18:41:50, 18:43:35, 115, 105
9870, 9868, cnat-podelocal, 15/10/2018, 13, 13:28:25, 13:28:32, 13, 7
9870, 9867, cnat-podelocal, 15/10/2018, 13, 13:28:49, 13:29:02, 19, 13
9868, 9867, cnat-podelocal, 15/10/2018, 14, 14:23:20, 14:26:12, 176, 172
9868, 8938, cnat-podelocal, 15/10/2018, 14, 14:54:07, 14:54:38, 38, 31
9870, 9866, cnat-podelocal, 15/10/2018, 15, 15:18:35, 15:18:47, 14, 12
9870, 9866, cnat-podelocal, 16/10/2018, 15, 15:52:09, 15:53:45, 103, 96
9868, 9865, cnat-podelocal, 17/10/2018, 12, 12:37:02, 12:37:29, 30, 27
9868, 9866, cnat-podelocal, 17/10/2018, 12, 12:37:41, 12:38:16, 40, 35
9870, 9822, cnat-podelocal, 18/10/2018, 08, 08:18:49, 08:19:11, 30, 22
9870, 9867, cnat-podelocal, 18/10/2018, 08, 08:44:53, 08:45:03, 19, 10
9870, 22263927, cnat-podelocal, 19/10/2018, 08, 08:28:30, 08:28:35, 37, 5
9868, 9806, cnat-podelocal, 19/10/2018, 08, 08:52:43, 08:53:18, 52, 35
9870, 40025700, cnat-podelocal, 19/10/2018, 17, 17:42:55, 17:57:17, 870, 862
9870, 9805, cnat-podelocal, 22/10/2018, 07, 07:16:16, 07:16:49, 35, 33
9870, 32271234, cnat-podelocal, 22/10/2018, 10, 10:18:47, 10:21:58, 198, 191
9868, 9849, cnat-podelocal, 22/10/2018, 11, 11:37:58, 11:45:35, 468, 457
9868, 9867, cnat-podelocal, 22/10/2018, 15, 15:18:38, 15:22:50, 256, 252
9870, 9866, cnat-podelocal, 22/10/2018, 15, 15:35:23, 15:35:54, 36, 31
9870, 32011565, cnat-podelocal, 23/10/2018, 07, 07:18:21, 07:18:42, 34, 21
9870, 9822, cnat-podelocal, 23/10/2018, 08, 08:50:16, 08:50:42, 30, 26
9868, 40050795, cnat-podelocal, 23/10/2018, 09, 09:22:10, 09:24:58, 181, 168
9868, 32382020, cnat-podelocal, 24/10/2018, 10, 10:32:06, 10:33:15, 88, 69
9868, 32319522, cnat-podelocal, 24/10/2018, 11, 11:10:49, 11:12:13, 107, 84
9868, 9800, cnat-podelocal, 24/10/2018, 11, 11:25:01, 11:25:31, 36, 30
9870, 9919, cnat-podelocal, 24/10/2018, 11, 11:27:12, 11:27:53, 49, 41
9868, 32319522, cnat-podelocal, 25/10/2018, 08, 08:37:47, 08:38:54, 81, 67
9868, 9930, cnat-podelocal, 25/10/2018, 08, 08:39:13, 08:42:13, 184, 180
9870, 9861, cnat-podelocal, 25/10/2018, 11, 11:41:03, 11:41:57, 62, 54
9870, 9867, cnat-podelocal, 25/10/2018, 11, 11:42:33, 11:42:51, 23, 18
9868, 40057210, cnat-podelocal, 25/10/2018, 13, 13:38:36, 13:38:40, 10, 4
9868, 4107, cnat-podelocal, 25/10/2018, 13, 13:39:29, 13:40:14, 53, 45
9868, 40057228, cnat-podelocal, 25/10/2018, 13, 13:41:17, 13:41:20, 8, 3
9868, 7228, cnat-podelocal, 25/10/2018, 13, 13:41:33, 13:42:34, 66, 61
9868, 5816, cnat-podelocal, 25/10/2018, 13, 13:43:05, 13:46:13, 194, 188
9868, 33422270, cnat-podelocal, 26/10/2018, 10, 10:57:56, 10:58:50, 61, 54
9868, 33422270, cnat-podelocal, 26/10/2018, 10, 10:59:07, 11:01:19, 138, 132
9868, 33422260, cnat-podelocal, 26/10/2018, 11, 11:03:08, 11:06:32, 210, 204
9868, 33422260, cnat-podelocal, 26/10/2018, 11, 11:06:57, 11:10:07, 196, 190
9868, 33422260, cnat-podelocal, 26/10/2018, 11, 11:12:25, 11:13:03, 45, 38
9870, 32271234, cnat-podelocal, 29/10/2018, 09, 09:21:32, 09:24:16, 170, 164
9870, 22263927, cnat-podelocal, 31/10/2018, 13, 13:37:51, 13:38:27, 51, 36
9870, 9826, cnat-podelocal, 01/11/2018, 11, 11:33:14, 11:36:03, 174, 169
9870, 08005912117, cnat-podelocal, 05/11/2018, 13, 13:22:44, 13:28:22, 348, 338
9868, 32319522, cnat-podelocal, 05/11/2018, 17, 17:51:16, 17:52:15, 96, 59
9868, 32319522, cnat-podelocal, 06/11/2018, 18, 18:09:52, 18:10:12, 46, 20
9870, 9858, cnat-podelocal, 07/11/2018, 15, 15:21:22, 15:22:14, 58, 52
9870, 9850, cnat-podelocal, 07/11/2018, 15, 15:22:28, 15:22:50, 29, 22
9868, 32319522, cnat-podelocal, 08/11/2018, 08, 08:02:30, 08:03:11, 72, 41
9868, 9800, cnat-podelocal, 08/11/2018, 10, 10:39:45, 10:41:04, 85, 79
9868, 0890, cnat-podelocal, 08/11/2018, 10, 10:41:09, 10:41:50, 46, 41
9868, 0798, poderamal, 08/11/2018, 10, 10:42:00, 10:47:50, 360, 350
9868, 32312718, cnat-podelocal, 08/11/2018, 11, 11:28:32, 11:28:46, 31, 14
9868, 9865, cnat-podelocal, 12/11/2018, 12, 12:29:34, 12:34:27, 296, 293
9868, 32319522, cnat-podelocal, 13/11/2018, 09, 09:36:50, 09:37:46, 80, 56
9868, 32319522, cnat-podelocal, 13/11/2018, 10, 10:20:40, 10:21:05, 44, 25
9870, 9853, cnat-podelocal, 14/11/2018, 08, 08:24:52, 08:25:21, 38, 29
9868, 8930, cnat-podelocal, 14/11/2018, 09, 09:00:13, 09:02:01, 117, 108
9868, 9994, cnat-podelocal, 14/11/2018, 13, 13:31:36, 13:36:05, 275, 269
9868, 33429442, cnat-podelocal, 14/11/2018, 18, 18:13:51, 18:14:26, 47, 35
9868, 32271234, cnat-podelocal, 19/11/2018, 08, 08:09:54, 08:12:11, 142, 137
9868, 32271234, cnat-podelocal, 19/11/2018, 08, 08:18:54, 08:20:45, 117, 111
9870, 9822, cnat-podelocal, 19/11/2018, 08, 08:49:49, 08:50:17, 36, 28
9868, 9807, cnat-podelocal, 19/11/2018, 14, 14:05:40, 14:05:54, 20, 14
9868, 9810, cnat-podelocal, 19/11/2018, 14, 14:06:11, 14:06:31, 28, 20
9868, 9907, cnat-podelocal, 19/11/2018, 14, 14:06:43, 14:06:58, 20, 15
9868, 36151690, cnat-podelocal, 19/11/2018, 15, 15:04:50, 15:06:37, 116, 107
9868, 36151690, cnat-podelocal, 19/11/2018, 15, 15:40:55, 15:42:11, 89, 76
9868, 9866, cnat-podelocal, 19/11/2018, 16, 16:35:38, 16:36:07, 33, 29
9868, 9832, cnat-podelocal, 19/11/2018, 16, 16:46:34, 16:48:34, 144, 120
9868, 9835, cnat-podelocal, 19/11/2018, 16, 16:54:31, 16:55:08, 55, 37
9870, 9907, cnat-podelocal, 20/11/2018, 08, 08:22:28, 08:22:49, 25, 21
9868, 8914, cnat-podedddcel, 20/11/2018, 08, 08:38:18, 08:38:18, 2, 0
9868, 8930, cnat-podelocal, 20/11/2018, 08, 08:38:18, 08:38:33, 29, 15
9870, 9820, cnat-podelocal, 20/11/2018, 08, 08:57:35, 08:58:01, 31, 26
9870, 9867, cnat-podelocal, 20/11/2018, 09, 09:30:24, 09:30:45, 25, 21
9868, 9865, cnat-podelocal, 20/11/2018, 12, 12:47:14, 12:47:31, 26, 17
9868, 9866, cnat-podelocal, 20/11/2018, 14, 14:36:23, 14:36:32, 14, 9
9870, 9806, cnat-podelocal, 22/11/2018, 07, 07:24:12, 07:24:32, 39, 20
9870, 9907, cnat-podelocal, 22/11/2018, 07, 07:29:49, 07:30:41, 74, 52
9870, 9907, cnat-podelocal, 22/11/2018, 07, 07:45:31, 07:45:42, 14, 11
9868, 32319522, cnat-podelocal, 22/11/2018, 08, 08:37:08, 08:37:58, 74, 50
9870, 32271234, cnat-podelocal, 22/11/2018, 10, 10:18:44, 10:20:07, 90, 83
9868, 36111833, cnat-podelocal, 22/11/2018, 10, 10:56:24, 11:01:25, 313, 301
